,id_match,team_name,tno
185,961671,URUNDAY UNIVERSITARIO,1
186,961672,TROUVILLE,2
187,961672,OLIMPIA,1
188,961673,WELCOME,2
189,961673,VERDIRROJO,1
190,961674,GOES,2
191,961674,SAYAGO,1
192,961675,MALVIN,2
193,961675,NACIONAL,1
194,961676,D SPORTING,2
195,961676,AGUADA,1
196,961677,URUNDAY UNIVERSITARIO,2
197,961677,BIGUA,1
198,961678,OLIMPIA,2
199,961678,HEBRAICA Y MACABI,1
200,961679,VERDIRROJO,2
201,961679,TROUVILLE,1
202,961680,SAYAGO,2
203,961680,WELCOME,1
204,961681,NACIONAL,2
205,961681,GOES,1
206,961682,ATENAS,2
207,961682,MALVIN,1
208,961683,AGUADA,2
209,961683,URUNDAY UNIVERSITARIO,1
210,961684,BIGUA,2
211,961684,OLIMPIA,1
212,961685,HEBRAICA Y MACABI,2
213,961685,VERDIRROJO,1
214,961686,TROUVILLE,2
215,961686,SAYAGO,1
216,961687,ATENAS,2
217,961687,GOES,1
218,961688,WELCOME,2
219,961688,NACIONAL,1
220,961689,URUNDAY UNIVERSITARIO,2
221,961689,D SPORTING,1
222,961690,GOES,2
223,961690,MALVIN,1
224,961691,VERDIRROJO,2
225,961691,AGUADA,1
226,961692,D SPORTING,2
227,961692,ATENAS,1
228,961693,BIGUA,2
229,961693,SAYAGO,1
230,961694,OLIMPIA,2
231,961694,AGUADA,1
232,961695,HEBRAICA Y MACABI,2
233,961695,NACIONAL,1
234,961696,VERDIRROJO,2
235,961696,BIGUA,1
236,961697,TROUVILLE,2
237,961697,MALVIN,1
238,961698,SAYAGO,2
239,961698,HEBRAICA Y MACABI,1
240,961699,WELCOME,2
241,961699,GOES,1
242,961700,NACIONAL,2
243,961700,TROUVILLE,1
244,961701,D SPORTING,2
245,961701,OLIMPIA,1
246,961702,MALVIN,2
247,961702,WELCOME,1
248,961703,URUNDAY UNIVERSITARIO,2
249,961703,ATENAS,1
250,961704,SAYAGO,2
251,961704,AGUADA,1
252,961705,NACIONAL,2
253,961705,BIGUA,1
254,961707,GOES,2
255,961707,TROUVILLE,1
256,961708,ATENAS,2
257,961708,WELCOME,1
258,961709,VERDIRROJO,2
259,961709,D SPORTING,1
260,961710,OLIMPIA,2
261,961710,URUNDAY UNIVERSITARIO,1
262,961711,NACIONAL,2
263,961711,AGUADA,1
264,961712,BIGUA,2
265,961712,MALVIN,1
266,961713,HEBRAICA Y MACABI,2
267,961713,GOES,1
268,961714,TROUVILLE,2
269,961714,WELCOME,1
270,961715,D SPORTING,2
271,961715,SAYAGO,1
272,961716,URUNDAY UNIVERSITARIO,2
273,961716,VERDIRROJO,1
274,961717,ATENAS,2
275,961717,OLIMPIA,1
276,961718,MALVIN,2
277,961718,AGUADA,1
278,961719,GOES,2
279,961719,BIGUA,1
280,961720,VERDIRROJO,2
281,961720,OLIMPIA,1
282,961721,WELCOME,2
283,961721,HEBRAICA Y MACABI,1
284,961722,AGUADA,2
285,961722,GOES,1
286,961723,TROUVILLE,2
287,961723,ATENAS,1
288,961724,BIGUA,2
289,961724,WELCOME,1
290,961725,NACIONAL,2
291,961725,D SPORTING,1
292,961726,HEBRAICA Y MACABI,2
293,961726,TROUVILLE,1
294,961727,SAYAGO,2
295,961727,URUNDAY UNIVERSITARIO,1
296,961728,D SPORTING,2
297,961728,MALVIN,1
298,961729,URUNDAY UNIVERSITARIO,2
299,961729,NACIONAL,1
300,961730,OLIMPIA,2
301,961730,SAYAGO,1
302,961731,ATENAS,2
303,961731,VERDIRROJO,1
304,961732,WELCOME,2
305,961732,AGUADA,1
306,961733,HEBRAICA Y MACABI,2
307,961733,ATENAS,1
308,961734,TROUVILLE,2
309,961734,BIGUA,1
310,961735,GOES,2
311,961735,D SPORTING,1
312,961736,MALVIN,2
313,961736,URUNDAY UNIVERSITARIO,1
314,961737,NACIONAL,2
315,961737,OLIMPIA,1
316,961738,SAYAGO,2
317,961738,VERDIRROJO,1
318,961739,TROUVILLE,2
319,961739,AGUADA,1
320,961740,BIGUA,2
321,961740,HEBRAICA Y MACABI,1
322,961741,D SPORTING,2
323,961741,WELCOME,1
324,961742,URUNDAY UNIVERSITARIO,2
325,961742,GOES,1
326,961743,OLIMPIA,2
327,961743,MALVIN,1
328,961744,VERDIRROJO,2
329,961744,NACIONAL,1
330,961745,ATENAS,2
331,961745,SAYAGO,1
332,961746,HEBRAICA Y MACABI,2
333,961746,AGUADA,1
334,961747,BIGUA,2
335,961747,ATENAS,1
336,961748,TROUVILLE,2
337,961748,D SPORTING,1
338,961749,WELCOME,2
339,961749,URUNDAY UNIVERSITARIO,1
340,961750,GOES,2
341,961750,OLIMPIA,1
342,961751,MALVIN,2
343,961751,VERDIRROJO,1
344,961752,NACIONAL,2
345,961752,SAYAGO,1
346,961753,AGUADA,2
347,961753,BIGUA,1
348,961754,D SPORTING,2
349,961754,HEBRAICA Y MACABI,1
350,961755,URUNDAY UNIVERSITARIO,2
351,961755,TROUVILLE,1
352,961756,OLIMPIA,2
353,961756,WELCOME,1
354,961757,VERDIRROJO,2
355,961757,GOES,1
356,961758,SAYAGO,2
357,961758,MALVIN,1
358,961759,ATENAS,2
359,961759,NACIONAL,1
360,983151,SAYAGO,2
361,983151,GOES,1
362,1082828,MALVIN,2
363,1082828,HEBRAICA Y MACABI,1
364,1102487,URUNDAY UNIVERSITARIO,2
365,1102487,NACIONAL,1
366,1102488,MALVIN,2
367,1102488,AGUADA,1
368,1102489,D SPORTING,2
369,1102489,TROUVILLE,1
370,1102490,D SPORTING,2
371,1102490,NACIONAL,1
372,1102491,MALVIN,2
373,1102491,URUNDAY UNIVERSITARIO,1
374,1102492,AGUADA,2
375,1102492,TROUVILLE,1
376,1102493,NACIONAL,2
377,1102493,AGUADA,1
378,1102494,TROUVILLE,2
379,1102494,MALVIN,1
380,1102495,D SPORTING,2
381,1102495,URUNDAY UNIVERSITARIO,1
382,1102496,MALVIN,2
383,1102496,D SPORTING,1
384,1102497,TROUVILLE,2
385,1102497,NACIONAL,1
386,1102498,URUNDAY UNIVERSITARIO,2
387,1102498,AGUADA,1
388,1102499,MALVIN,2
389,1102499,NACIONAL,1
390,1102500,AGUADA,2
391,1102500,D SPORTING,1
392,1102501,URUNDAY UNIVERSITARIO,2
393,1102501,TROUVILLE,1
394,1102512,HEBRAICA Y MACABI,2
395,1102512,OLIMPIA,1
396,1102513,BIGUA,2
397,1102513,GOES,1
398,1102514,OLIMPIA,2
399,1102514,BIGUA,1
400,1102515,OLIMPIA,2
401,1102515,GOES,1
402,1102516,GOES,2
403,1102516,HEBRAICA Y MACABI,1
404,1102517,BIGUA,2
405,1102517,HEBRAICA Y MACABI,1
406,1102518,GOES,2
407,1102518,OLIMPIA,1
408,1102519,HEBRAICA Y MACABI,2
409,1102519,BIGUA,1
410,1102520,OLIMPIA,2
411,1102520,HEBRAICA Y MACABI,1
412,1102521,GOES,2
413,1102521,BIGUA,1
